縣市,日期,稉種白米零售價格(元/每公斤),硬秈白米零售價格(元/每公斤),軟秈白米零售價格(元/每公斤),圓糯白米零售價格(元/每公斤),長糯白米零售價格(元/每公斤),稉種白米躉售價格(元/每百公斤),硬秈白米躉售價格(元/每百公斤),軟秈白米躉售價格(元/每百公斤),圓糯白米躉售價格(元/每百公斤),長糯白米躉售價格(元/每百公斤),稻穀稉種價格(元/每百公斤),稻穀硬秈價格(元/每百公斤),稻穀軟秈價格(元/每百公斤),稻穀圓糯價格(元/每百公斤),稻穀長糯價格(元/每百公斤)
"基隆市  ","114.6.4","50.48","53.75","0","63.09","61.66","4375","4833","0","5264","5050","0","0","0","0","0"
"台北市  ","114.6.4","52.22","57.62","60","65","61.11","4380","4531","4825","5394","5092","0","0","0","0","0"
"新北市  ","114.6.4","48.8","53.75","53.28","57.96","57.04","4333","4528","4763","5148","4926","0","0","0","0","0"
"桃園市  ","114.6.4","43.15","47.78","51.25","53.85","50.73","3811","4167","4458","4750","4417","2514","0","0","0","0"
"新竹市  ","114.6.4","45.75","50.83","0","54.98","52.78","4063","4345","0","4857","4467","0","0","0","0","0"
"新竹縣  ","114.6.4","44.58","48","0","54.37","52.33","3940","4217","0","4903","4350","2533","0","0","0","0"
"苗栗縣  ","114.6.4","43.81","0","0","53.48","54.5","3917","0","0","4833","4778","2508","0","0","0","0"
"台中市  ","114.6.4","46.62","53.14","50.71","55.91","54.79","3988","4400","4627","4826","4607","2532","0","0","0","0"
"彰化縣  ","114.6.4","45","48.39","48.06","51.22","49.39","3920","4178","4354","4682","4252","2643","0","2750","3087","2696"
"南投縣  ","114.6.4","46.68","51.43","49.68","55.71","53.65","4000","0","0","4583","4250","2600","0","0","0","0"
"雲林縣  ","114.6.4","42.98","46.38","0","51.45","48.9","3889","4125","0","4568","3945","2647","2500","0","3069","2775"
"嘉義市  ","114.6.4","43.72","0","0","52.89","50.43","3875","0","0","4409","4150","2583","2250","0","0","0"
"嘉義縣  ","114.6.4","43.69","0","0","52.46","51.38","3872","0","0","4388","4113","2588","2242","0","0","0"
"台南市  ","114.6.4","43.55","55","47.5","56.58","54.54","3957","4063","0","4681","4501","2667","0","0","0","0"
"高雄市  ","114.6.4","44.19","0","46.6","52.49","57.44","3699","0","0","4546","5224","2590","0","0","0","0"
"屏東縣  ","114.6.4","40.92","46.02","0","50.4","51.87","3555","4152","0","4104","4089","2550","0","0","0","0"
"宜蘭縣  ","114.6.4","46.44","51.67","48.96","56.92","56.02","3722","0","4292","4750","4625","2259","0","0","0","0"
"花蓮縣  ","114.6.4","49.93","0","0","56.98","58","4437","0","0","5025","5099","2620","0","0","0","0"
"台東縣  ","114.6.4","59.39","0","0","64.87","61.55","4635","0","0","5281","5500","2617","0","0","2820","0"
"澎湖縣  ","114.6.4","44.28","0","0","58.89","58.89","4022","0","0","0","0","0","0","0","0","0"
"基隆市  ","114.6.3","50.48","53.75","0","63.09","61.66","4375","4833","0","5264","5050","0","0","0","0","0"
"台北市  ","114.6.3","52.22","57.62","60","65","60.74","4380","4531","4825","5394","5092","0","0","0","0","0"
"新北市  ","114.6.3","48.8","53.75","53.09","57.96","56.85","4324","4528","4744","5139","4907","0","0","0","0","0"
"桃園市  ","114.6.3","43.15","47.78","51.25","53.85","50.73","3811","4167","4458","4750","4417","2514","0","0","0","0"
"新竹市  ","114.6.3","45.75","50.83","0","54.98","52.78","4063","4345","0","4857","4467","0","0","0","0","0"
"新竹縣  ","114.6.3","44.58","48","0","54.37","52.33","3940","4217","0","4903","4350","2533","0","0","0","0"
"苗栗縣  ","114.6.3","43.81","0","0","53.48","54.5","3917","0","0","4833","4778","2508","0","0","0","0"
